energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,mode,key,duration_ms,acousticness,genre
0.000202,71.599,0.124,-43.713,0.11,0.0346,0.0987,0.972,1.0,0.0,186388.0,0.97,ambient
0.000237,73.664,0.172,-44.525,0.11,0.0383,0.0671,0.967,1.0,0.0,195466.0,0.973,ambient
0.000487,172.224,0.0823,-34.601,0.11,0.0349,0.0505,0.873,1.0,1.0,138142.0,0.976,ambient
0.000539,134.125,0.152,-35.475,0.108,0.0371,0.0512,0.934,1.0,3.0,205738.0,0.913,ambient
0.000546,141.408,0.135,-43.098,0.0908,0.0487,0.0559,0.97,1.0,3.0,180923.0,0.972,ambient
0.000642,71.7,0.0589,-38.447,0.114,0.424,0.0618,0.943,1.0,10.0,171750.0,0.961,ambient
0.000778,69.847,0.133,-36.902,0.11,0.0464,0.0507,0.869,1.0,1.0,187727.0,0.953,ambient
0.00081,134.584,0.151,-36.747,0.112,0.0389,0.0552,0.941,1.0,6.0,175720.0,0.94,ambient
0.000816,136.037,0.148,-39.215,0.09,0.267,0.0553,0.964,1.0,3.0,178000.0,0.952,ambient
0.000835,74.578,0.0668,-38.7,0.111,0.0357,0.0534,0.957,1.0,0.0,172432.0,0.972,ambient
0.000947,71.912,0.158,-42.911,0.137,0.0325,0.0507,0.969,1.0,0.0,165000.0,0.986,ambient
0.000952,69.919,0.185,-43.296,0.0966,0.0723,0.0446,0.956,1.0,2.0,167671.0,0.987,ambient
0.0014,140.078,0.14,-41.294,0.111,0.112,0.0561,0.965,1.0,5.0,161957.0,0.98,ambient
0.00145,137.261,0.146,-41.989,0.155,0.0393,0.0544,0.96,1.0,2.0,216000.0,0.974,ambient
0.00158,134.497,0.152,-43.541,0.116,0.04,0.0472,0.971,1.0,3.0,177000.0,0.969,ambient
0.0016,142.818,0.133,-40.103,0.112,0.0315,0.0578,0.929,1.0,0.0,198000.0,0.851,ambient
0.00161,140.997,0.138,-43.643,0.0951,0.155,0.0532,0.971,1.0,5.0,144750.0,0.977,ambient
0.00167,67.628,0.175,-40.472,0.108,0.0367,0.0445,0.949,1.0,1.0,156664.0,0.99,ambient
0.00207,71.505,0.15,-45.66,0.117,0.149,0.0411,0.853,1.0,2.0,178000.0,0.993,ambient
0.00223,62.672,0.0959,-37.874,0.124,0.0389,0.0523,0.808,1.0,11.0,205026.0,0.964,ambient
0.0024,137.633,0.144,-36.669,0.116,0.221,0.0559,0.971,1.0,10.0,168000.0,0.829,ambient
0.00253,133.059,0.157,-38.091,0.113,0.0369,0.0565,0.944,1.0,1.0,178600.0,0.956,ambient
0.00293,115.722,0.294,-16.099,0.0708,0.658,0.0516,0.000331,1.0,0.0,81776.0,0.994,world
0.00295,68.922,0.226,-36.149,0.207,0.0347,0.0413,0.946,1.0,1.0,167143.0,0.967,ambient
0.003,66.701,0.19,-42.687,0.111,0.0588,0.0419,0.845,1.0,0.0,140333.0,0.987,ambient
0.00311,76.933,0.0727,-43.06,0.109,0.0374,0.0436,0.954,1.0,3.0,256388.0,0.944,ambient
0.00322,69.321,0.173,-44.129,0.0938,0.0345,0.0383,0.808,1.0,9.0,183899.0,0.938,ambient
0.0037,140.566,0.14,-37.4,0.112,0.141,0.0489,0.93,1.0,1.0,170082.0,0.838,ambient
0.00375,65.669,0.117,-40.669,0.0778,0.0581,0.0363,0.884,1.0,9.0,138000.0,0.992,ambient
0.00379,140.649,0.14,-38.183,0.113,0.192,0.0409,0.972,1.0,7.0,162430.0,0.958,ambient
0.00389,138.54,0.145,-40.458,0.121,0.0407,0.0456,0.953,1.0,7.0,174000.0,0.977,ambient
0.00403,142.112,0.136,-37.261,0.109,0.0835,0.0411,0.529,1.0,5.0,148542.0,0.951,ambient
0.00438,70.706,0.14,-44.145,0.114,0.0388,0.0425,0.952,0.0,10.0,200000.0,0.974,ambient
0.00478,80.186,0.0783,-37.274,0.113,0.112,0.0539,0.95,1.0,2.0,160413.0,0.961,ambient
0.00587,139.301,0.145,-38.136,0.11,0.0371,0.0444,0.92,1.0,0.0,164000.0,0.95,ambient
0.00641,68.298,0.143,-39.151,0.102,0.0539,0.0414,0.939,1.0,5.0,161355.0,0.969,ambient
0.00644,69.321,0.0631,-34.111,0.107,0.0639,0.0453,0.87,1.0,2.0,190500.0,0.971,ambient
0.00645,74.189,0.189,-32.299,0.112,0.0487,0.0378,0.833,1.0,6.0,178000.0,0.967,ambient
0.00725,71.939,0.121,-38.789,0.114,0.0334,0.0441,0.971,1.0,2.0,152222.0,0.871,ambient
0.00736,140.011,0.145,-36.296,0.116,0.0369,0.0403,0.775,1.0,1.0,165000.0,0.99,ambient
0.00747,73.896,0.195,-38.997,0.135,0.0405,0.0571,0.945,1.0,2.0,150000.0,0.988,ambient
0.00776,138.427,0.149,-40.195,0.0983,0.0409,0.0381,0.952,1.0,5.0,174601.0,0.991,ambient
0.00817,67.449,0.171,-35.99,0.0859,0.0355,0.0449,0.855,1.0,0.0,154000.0,0.99,ambient
0.00898,137.553,0.148,-39.959,0.104,0.0632,0.0446,0.91,1.0,7.0,146400.0,0.86,ambient
0.00911,76.362,0.0703,-36.483,0.111,0.0742,0.0443,0.958,1.0,6.0,173333.0,0.961,ambient
0.00945,76.745,0.152,-30.46,0.123,0.249,0.0355,0.94,1.0,9.0,266169.0,0.971,electronic
0.00949,140.739,0.142,-39.818,0.0984,0.049,0.0355,0.896,0.0,2.0,130645.0,0.993,ambient
0.00961,64.154,0.0602,-34.583,0.0922,0.0942,0.0498,0.989,1.0,7.0,210625.0,0.923,ambient
0.00991,141.278,0.153,-37.631,0.118,0.0387,0.0387,0.917,1.0,6.0,159000.0,0.977,ambient
0.01,73.055,0.161,-38.885,0.0999,0.038,0.039,0.914,1.0,1.0,159685.0,0.948,ambient
0.0105,135.418,0.154,-38.116,0.103,0.0514,0.038,0.957,1.0,4.0,169055.0,0.958,ambient
0.0111,70.526,0.167,-35.209,0.092,0.0561,0.0379,0.71,1.0,5.0,199871.0,0.971,ambient
0.0113,139.355,0.143,-40.334,0.117,0.0398,0.0462,0.785,0.0,5.0,190941.0,0.962,ambient
0.0117,131.199,0.159,-36.805,0.105,0.035,0.0432,0.971,1.0,8.0,181750.0,0.841,ambient
0.0135,80.163,0.17,-24.59,0.109,0.0895,0.0443,0.958,1.0,6.0,237273.0,0.977,electronic
0.0137,137.908,0.148,-37.611,0.119,0.0382,0.0422,0.936,1.0,7.0,209250.0,0.972,ambient
